Station Name,Venue Name,Distance,Primary Category
Julius-Raab-Platz,Novotel Breakfast Spot,62,Breakfast Spot
Julius-Raab-Platz,Tullnerfelder,67,Bakery
Julius-Raab-Platz,Restaurant Holy Moly - am Badeschiff,84,Restaurant
Julius-Raab-Platz,Buenos Aires Beach Bar,88,Cocktail Bar
Julius-Raab-Platz,YORI Korean Dining,91,Korean Restaurant
Julius-Raab-Platz,Kantine,103,German Restaurant
Julius-Raab-Platz,Klyo,111,Bar
Julius-Raab-Platz,Xpedit,129,Bar
Julius-Raab-Platz,Pizzeria Ristorante Noli,140,Pizzeria
Julius-Raab-Platz,Do&Co Platinum,150,Dining and Drinking
Hoher Markt,Joma,24,Café
Hoher Markt,Caffe a Casa,44,Café
Hoher Markt,Pnyka,57,Bakery
Hoher Markt,Würstelstand Hoher Markt,65,Bratwurst Joint
Hoher Markt,Ra'Mien Go,65,Asian Restaurant
Hoher Markt,Wrenkh,90,Vegan and Vegetarian Restaurant
Hoher Markt,Café Bar Bloom,92,Bar
Hoher Markt,Schachtelwirt,96,Austrian Restaurant
Hoher Markt,"Le Burger, Rotenturmstraße",99,Burger Joint
Hoher Markt,Ristorante Fratelli,99,Italian Restaurant
Oper,Cafe Oper,9,Café
Oper,Anker,31,Bakery
Oper,Restaurant Korso im Bristol Hotel,51,Restaurant
Oper,Sushi Roll To Go,60,Sushi Restaurant
Oper,Gerstner K. und K. Hofzuckerbäcker,67,Café
Oper,Ristorante San Carlo,72,Italian Restaurant
Oper,Café Testa Rossa - Ringstraßengalerie,90,Bistro
Oper,Vienna Classic,100,Music Venue
Oper,Maredo,101,BBQ Joint
Oper,Cafe Bistro,106,Café
Volksgarten,Asia-Noodle Bude,2,Snack Place
Volksgarten,Kebap & Pizza World,18,Pizzeria
Volksgarten,Funny Noodles,26,Asian Restaurant
Volksgarten,Würstelstand beim Parlament,65,Buffet
Volksgarten,Pizzeria Senza Danza,69,Pizzeria
Volksgarten,Muscheldinner Naturhistorisches Museum,103,Seafood Restaurant
Volksgarten,Kaffeerestaurant Bellaria,108,Bistro
Volksgarten,Justizpalastkantine,135,Dining and Drinking
Volksgarten,Café in der Kuppelhalle im Naturhistorischen Museum,179,Café
