Station Name,Venue Name,Distance,Ratings,Review Count,Primary Category
Julius-Raab-Platz,Yori,105.33149824882497,4.0,53,Korean
Julius-Raab-Platz,Motto am Fluss,322.8172115387936,4.0,144,Austrian
Julius-Raab-Platz,Da Capo Ristorante,610.5260691865426,4.5,108,Pizza
Julius-Raab-Platz,Holy Moly,72.43977841754116,4.0,25,Restaurants
Julius-Raab-Platz,Ef16,425.54232666388634,4.5,50,Wine Bars
Julius-Raab-Platz,xpedit,122.88372529412668,4.5,15,Italian
Julius-Raab-Platz,KLYO,94.00392108511025,4.0,8,Juice Bars & Smoothies
Julius-Raab-Platz,Harvest,479.7485344991793,4.5,38,Vegan
Julius-Raab-Platz,Plachutta Wollzeile,523.2382974887291,4.0,232,Austrian
Julius-Raab-Platz,Cafe Ansari,201.5150262890049,4.0,43,Cafes
Julius-Raab-Platz,Mochi,225.57088335459497,4.5,43,Japanese
Julius-Raab-Platz,It's all about the meat Baby,61.419513558512165,3.5,10,American (Traditional)
Julius-Raab-Platz,Kaffee Alt Wien,526.2127540605801,4.0,121,Coffee & Tea
Julius-Raab-Platz,Motto am Fluss Cafe,343.6746890705227,4.0,44,Breakfast & Brunch
Julius-Raab-Platz,Heindl's Schmarren & Palatschinkenkuchl,492.81691385601493,4.0,99,Austrian
Julius-Raab-Platz,Smokey's,364.3629757972914,4.0,49,Bars
Julius-Raab-Platz,Strandbar Herrmann,256.0187540092248,4.0,55,Beach Bars
Julius-Raab-Platz,Vapiano,273.2072157295065,4.0,36,Italian
Julius-Raab-Platz,FRANK'S,294.21560811504065,3.5,62,Italian
Julius-Raab-Platz,Griechenbeisl,389.39918855117725,3.5,73,Austrian
Hoher Markt,Joma,41.96141873249922,4.0,53,Bars
Hoher Markt,Zanoni & Zanoni,115.2393135811603,4.0,147,Ice Cream & Frozen Yogurt
Hoher Markt,Figlmüller,207.6874757618995,4.0,599,Austrian
Hoher Markt,Gasthaus Pöschl,447.8653234456185,4.5,261,Gastropubs
Hoher Markt,Kolar,216.52925455922698,4.5,89,Beisl
Hoher Markt,Lugeck,195.38612781781214,4.0,65,Austrian
Hoher Markt,Wrenkh & Wiener Kochsalon,93.60883369468584,4.5,70,Modern European
Hoher Markt,Cafe Bar Bloom,100.60887566477857,4.0,28,Cafes
Hoher Markt,Ef16,287.4213622523077,4.5,50,Wine Bars
Hoher Markt,Hard Rock Cafe,203.40624969103254,4.0,58,Bars
Hoher Markt,SchachtelWirt,97.75120162473688,5.0,38,Austrian
Hoher Markt,Da Capo Ristorante,402.3211153065225,4.5,108,Pizza
Hoher Markt,Reinthaler,368.66523246449657,4.5,109,Austrian
Hoher Markt,Hinterholz Bar-Restaurant,135.5011738401741,4.0,13,Bars
Hoher Markt,Figlmüller,243.7574403670324,4.0,166,Austrian
Hoher Markt,Motto am Fluss,408.1715358182527,4.0,144,Austrian
Hoher Markt,Roberto American Bar,92.38858825471489,4.5,14,Bars
Hoher Markt,Hungry Guy,202.90611641323568,4.5,38,Middle Eastern
Hoher Markt,Cafe Korb,185.09691689770165,4.0,44,Cafes
Hoher Markt,Eis-Greissler,143.34655331082942,4.5,152,Ice Cream & Frozen Yogurt
Oper,Bier & Bierli,166.50724561473908,4.5,110,Austrian
Oper,Plachuttas Gasthaus zur Oper,150.01659009178096,4.0,134,Austrian
Oper,Cafe Sacher Wien,136.15932082285565,3.5,296,Cafes
Oper,Gasthaus Pöschl,540.437486887351,4.5,261,Gastropubs
Oper,Gerstner,86.25266115129972,4.0,12,Patisserie/Cake Shop
Oper,Crossfield's Australian Pub,173.36449681575533,3.5,56,Pubs
Oper,Café Mozart,173.1527976289545,3.5,126,Cafes
Oper,Gerstner - Schlumberger Bar,66.83270912860614,4.5,36,Desserts
Oper,Ristorante San Carlo,97.9780334081744,4.0,18,Italian
Oper,Maredo,101.58999520020129,3.5,46,Steakhouses
Oper,Restaurant Rote Bar,113.31809948589678,4.5,14,Austrian
Oper,Stadtboden,177.5517590676596,4.0,26,Brasseries
Oper,Restaurant Nihon Bashi,165.79036952646672,4.5,29,Japanese
Oper,Leberkas-Pepi,173.17589954834426,4.5,25,Austrian
Oper,At Eight Restaurant & Bar,146.2729752141995,4.0,20,Austrian
Oper,Palmenhaus,339.1217912767248,4.0,118,Lounges
Oper,Bitzinger,176.56164940541964,4.0,94,Curry Sausage
Oper,Bristol Lounge,42.438334052955106,4.0,5,Lounges
Oper,Gerstner,83.70246602147583,4.0,34,Desserts
Oper,Vapiano,175.27442994841132,3.5,37,Italian
Volksgarten,Bellaria,100.58025504600667,4.5,19,Cafes
Volksgarten,Volksgarten Pavillon,69.62073409093159,4.0,20,Cafes
Volksgarten,Glacis Beisl,438.4623983212729,4.0,136,Austrian
Volksgarten,I Ragazzi,434.98244548050627,4.5,65,Pizza
Volksgarten,Naturhistorisches Museum,150.71635305748788,4.5,83,Museums
Volksgarten,Amerlingbeisl,586.486546168168,4.0,82,Coffee & Tea
Volksgarten,Palmenhaus,500.1694378943816,4.0,118,Lounges
Volksgarten,Café Central,565.9924762108874,4.0,612,Cafes
Volksgarten,KÄUZCHEN,422.40530122693673,4.0,43,Austrian
Volksgarten,Regina Margherita,603.2150889445801,4.5,36,Pizza
Volksgarten,Volksgarten,191.89567659964874,4.5,26,Parks
Volksgarten,Kunsthistorisches Museum,299.02246293801085,4.5,104,Museums
Volksgarten,Der Dachboden,422.47488220339636,4.0,71,Cafes
Volksgarten,Hofburg,438.03448078566345,4.5,70,Landmarks & Historical Buildings
Volksgarten,Das Möbel,465.0427427875077,4.0,71,Bars
Volksgarten,Tian,554.6243919005941,4.5,19,Vegetarian
Volksgarten,MQ Kantine,327.9993556567066,3.5,51,Canteen
Volksgarten,MQ daily,362.2675397569333,4.0,37,Cafes
Volksgarten,Corbaci,307.0893227281156,4.0,21,Cafes
Volksgarten,Anker,33.270220585828085,4.0,3,Bakeries
Taborstraße U2,Pizza Mari,385.07851366961853,4.5,88,Pizza
Taborstraße U2,Hammond Bar,172.35959241836167,4.5,22,Lounges
Taborstraße U2,Harvest,474.312191139895,4.5,38,Vegan
Taborstraße U2,Pancho,85.98886934920633,3.0,38,Mexican
Taborstraße U2,Briuni,89.99269993507387,4.0,8,Seafood
Taborstraße U2,Tortillería y Antojitos Mexikanos,385.7167784474506,4.0,58,Mexican
Taborstraße U2,Leopold,262.4695399897751,4.0,28,Gastropubs
Taborstraße U2,Schöne Perle,380.6037418021576,3.5,67,Austrian
Taborstraße U2,Das LOFT,532.1404173519048,3.5,104,Bars
Taborstraße U2,Tachles,482.7815294785435,4.0,27,Bars
Taborstraße U2,Bricks,108.39468726097665,3.5,14,Bars
Taborstraße U2,La Massa,315.3995400682675,4.5,7,Pizza
Taborstraße U2,Schuppich,250.39232370983973,4.5,9,Italian
Taborstraße U2,Fischrestaurant Kaj,453.0257293778538,4.5,12,Seafood
Taborstraße U2,Lhotzkys Literaturbuffet,199.33142324501875,5.0,8,Bookstores
Taborstraße U2,el Hans,364.26686044492436,4.5,11,Spanish
Taborstraße U2,Skopik & Lohn,414.6081048738823,4.0,41,Austrian
Taborstraße U2,Weinschenke,432.43420250107687,4.5,8,Burgers
Taborstraße U2,Tewa am Karmelitermarkt,447.038487432933,4.0,18,International
Taborstraße U2,Bahur Tov,352.01589970736273,5.0,6,Kosher
Erdberg U3,Marx,176.40893599685577,4.0,8,Lounges
Erdberg U3,Raimund Korner,35.1827711047114,5.0,4,Landmarks & Historical Buildings
Erdberg U3,Gasthaus Schmitzberger,359.3059382688792,4.0,12,Gastropubs
Erdberg U3,Peccino,29.871439675648933,3.0,1,Italian
Erdberg U3,GUSTO,361.76315962363606,5.0,1,Bistros
Erdberg U3,Arena Beisl,346.45853010701546,4.5,2,Dive Bars
Erdberg U3,Siegfried Scherleithner,215.37944648101606,2.0,1,Bakeries
Erdberg U3,"Pizzeria Restaurant Peccino-, El Pasha",215.37944648101606,2.0,2,Pizza
Erdberg U3,Yellow Deli,395.3985293289285,5.0,1,Thai
Erdberg U3,Dussmann's Bistro,498.3220290278504,3.0,1,Bistros
Media Quarter Marx,Marx Restauration,33.6071790469112,3.5,5,Austrian
Media Quarter Marx,O'Connor's,330.5953172181415,4.0,33,Irish Pub
Media Quarter Marx,East End,50.22919682177582,3.5,4,International
Media Quarter Marx,Willkommen Österreich,38.67686119583375,3.5,4,Local Flavor
Media Quarter Marx,The Nice Guys,73.43192743545158,2.0,1,Bars
Media Quarter Marx,Gasthaus Schmitzberger,477.22651434844886,4.0,12,Gastropubs
Media Quarter Marx,Satraj,652.7897851946391,4.5,4,Indian
Media Quarter Marx,Ristorante Paolo,546.309304249361,4.0,8,Pizza
Media Quarter Marx,T-Lunch,282.58993293866104,4.0,2,Canteen
Media Quarter Marx,San,518.170569600002,5.0,1,Japanese
Media Quarter Marx,Accademia Del Caffe Gastronomiebetriebs,508.88392292559666,5.0,2,Coffee & Tea
Media Quarter Marx,Alois Sagmeister,527.10648985598,5.0,2,Hotels
Heumühlgasse,Zweitbester,19.602521702160626,4.0,35,Breakfast & Brunch
Heumühlgasse,Taste of India,117.09277818329294,4.5,45,Indian
Heumühlgasse,Aromat,130.18485621144757,4.5,20,Creperies
Heumühlgasse,Sixta,306.65504217128375,5.0,38,Austrian
Heumühlgasse,Vollpension,296.0999511749355,4.0,88,Cafes
Heumühlgasse,Wieden Bräu - Gastronomie mit Pfiff,233.124729415788,3.5,44,Breweries
Heumühlgasse,Der Hannes,167.73494664289902,4.5,23,Bars
Heumühlgasse,Bangkok,529.6309308468573,4.5,69,Thai
Heumühlgasse,Neni,298.4466308412389,3.5,122,Middle Eastern
Heumühlgasse,Cafe Drechsler,353.46528528403985,4.0,48,Cafes
Heumühlgasse,The Breakfast Club,281.65602901910125,4.5,100,Breakfast & Brunch
Heumühlgasse,Waldviertlerhof,386.6913536070126,4.5,36,Austrian
Heumühlgasse,Mama Liu & Sons,522.0560648140628,4.0,47,Dim Sum
